Index,Product,,,,,,,,,
53,DUBOEUF BEAUJOLAIS VILLAGES,,,,https://www.vivino.com/georges-duboeuf-beaujolais-villages/w/79407,,,,,
54,DOM PERIGNON,,,,https://www.vivino.com/dom-perignon-brut-champagne/w/86684,,,,,
55,GATO NEGRO CABERNET SAUVIGNON,,,,https://www.vivino.com/san-pedro-central-valley-gato-negro-cabernet-sauvignon/w/3565573,,,,,
56,PENFOLDS KOONUNGA HILL SHIRAZ CAB,,,,https://www.vivino.com/penfolds-koonunga-hill-shiraz-cabernet/w/1306,,,,,
57,MASI VALPOLICELLA BONACOSTA CLASSICO,,,,https://www.vivino.com/it-masi-bonacosta-valpolicella-classico/w/21975,,,,,
58,GALLO FAMILY VINEYARDS WHITE ZINFANDEL,,,,https://www.vivino.com/gallo-family-vineyards-white-zinfandel/w/1156607,,,,,
59,JACOB'S CREEK CHARDONNAY,,,,https://www.vivino.com/jacob-s-creek-chardonnay/w/2706,,,,,
60,DROUHIN BEAUJOLAIS VILLAGES,,,,https://www.vivino.com/joseph-drouhin-beaujolais-villages/w/24062,,,,,
61,STONELEIGH SAUVIGNON BLANC,,,,https://www.vivino.com/stoneleigh-vineyards-sauvignon-blanc/w/23834,,,,,
62,BALTASAR GARNACHA EL POLITICO,,,,https://www.vivino.com/baltasar-gracian-calatayud-el-politico-garnacha/w/4175593,,,,,
63,PERRIN LA VIELLE FERME WHITE,,,,,,,,,
64,ROSEMOUNT DIAMOND LABEL SHIRAZ,,,,https://www.vivino.com/rosemount-diamond-label-shiraz/w/67884,,,,,
65,CONO SUR TOCORNAL SAUVIGNON BLANC,,,,https://www.vivino.com/cono-sur-tocornal-sauvignon-blanc/w/73388,,,,,
66,PROSPECT PINOT GRIGIO,,,,https://www.vivino.com/prospect-ogopogo-s-lair-pinot-grigio-okanogan-valley/w/1676582,,,,,
67,MATUA HAWKES BAY SAUVIGNON BLANC,,,,https://www.vivino.com/matua-valley-sauvignon-blanc-hawke-s-bay/w/1224837,,,,,
